STATION,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5
USW00014734,2022-02-19,67,,0,0,0,-5,56,-55,,280,280,165,215
USW00014734,2022-02-20,52,,0,0,0,-27,28,-71,,330,340,107,148
USW00014734,2022-02-21,24,,0,0,0,32,133,-32,,200,230,63,76
USW00014734,2022-02-22,44,,33,0,0,66,167,11,,190,180,103,143
USW00014734,2022-02-23,68,,0,0,0,164,211,17,,260,270,161,192
USW00014734,2022-02-24,43,,0,0,0,14,17,-10,,320,320,94,121
USW00014734,2022-02-25,60,,213,8,0,12,67,-32,,320,320,125,157
USW00014734,2022-02-26,47,,0,0,0,-8,33,-43,,320,330,107,134
USW00014734,2022-02-27,67,,0,0,0,18,94,-49,,270,270,134,174
USW00014734,2022-02-28,51,,0,0,0,12,33,-27,,320,330,112,143
USW00014734,2022-03-01,24,,0,0,0,27,89,-10,,160,200,58,81
USW00014734,2022-03-02,43,,0,0,0,78,122,44,,270,290,76,107
USW00014734,2022-03-03,73,,15,0,0,58,78,-38,,330,300,116,157
USW00014734,2022-03-04,38,,0,0,0,-18,39,-66,,340,280,98,125
USW00014734,2022-03-05,24,,0,0,0,19,78,-32,,170,160,72,98
USW00014734,2022-03-06,47,,10,0,0,104,206,67,,230,230,116,157
USW00014734,2022-03-07,74,,3,0,0,192,244,100,,270,300,197,268
USW00014734,2022-03-08,74,,0,0,0,97,100,33,,300,290,139,197
USW00014734,2022-03-09,37,,152,13,0,37,56,6,,360,130,67,85
USW00014734,2022-03-10,17,,0,0,0,37,100,-10,,140,140,40,54
USW00014734,2022-03-11,23,,0,0,0,63,122,17,,130,130,72,98
USW00014734,2022-03-12,73,,79,8,0,42,78,-49,,320,320,174,237
USW00014734,2022-03-13,67,,0,0,0,-31,17,-60,,280,270,157,183
USW00014734,2022-03-14,48,,0,0,0,49,144,-5,,220,230,89,125
USW00014734,2022-03-15,34,,0,0,0,113,206,33,,290,310,89,116
USW00014734,2022-03-16,30,,0,0,0,140,189,83,,140,140,67,94
USW00014734,2022-03-17,40,,23,0,0,98,128,72,,20,20,72,81
USW00014734,2022-03-18,30,,0,0,0,146,233,89,,130,150,67,85
USW00014734,2022-03-19,32,,38,0,0,132,217,83,,220,220,107,139
USW00014734,2022-03-20,70,,0,0,0,143,156,83,,310,300,125,157
USW00014734,2022-03-21,61,,0,0,0,112,183,67,,270,270,130,165
USW00014734,2022-03-22,61,,0,0,0,118,161,67,,300,300,107,139
USW00014734,2022-03-23,47,,28,0,0,71,83,39,,20,60,76,103
USW00014734,2022-03-24,55,,224,0,0,61,83,44,,40,30,94,125
USW00014734,2022-03-25,51,,5,0,0,99,156,67,,260,260,112,157
USW00014734,2022-03-26,64,,0,0,0,104,133,50,,280,280,116,152
USW00014734,2022-03-27,78,,0,0,0,55,89,-21,,280,270,148,179
USW00014734,2022-03-28,97,,0,0,0,-18,17,-49,,330,300,139,183
USW00014734,2022-03-29,76,,0,0,0,-12,44,-43,,320,310,125,161
USW00014734,2022-03-30,30,,0,0,0,24,89,-16,,140,280,58,76
USW00014734,2022-03-31,50,,28,0,0,121,217,67,,200,200,130,165
USW00014734,2022-04-01,77,,53,0,0,139,156,61,,260,290,161,192
USW00014734,2022-04-02,51,,0,0,0,76,128,39,,290,300,130,165
USW00014734,2022-04-03,33,,33,0,0,68,89,44,,300,290,107,143
USW00014734,2022-04-04,49,,0,0,0,76,122,39,,290,300,94,125
USW00014734,2022-04-05,24,,18,0,0,95,122,56,,100,140,58,76
USW00014734,2022-04-06,57,,170,0,0,92,117,72,,40,30,107,157
USW00014734,2022-04-07,53,,279,0,0,94,117,78,,110,110,143,201
USW00014734,2022-04-08,55,,3,0,0,128,178,94,,240,250,103,130
USW00014734,2022-04-09,37,,33,0,0,111,144,83,,240,240,134,161
USW00014734,2022-04-10,76,,0,0,0,87,117,61,,320,320,130,174
USW00014734,2022-04-11,36,,0,0,0,92,167,44,,330,360,72,98
USW00014734,2022-04-12,33,,10,0,0,144,228,94,,330,340,89,152
USW00014734,2022-04-13,24,,0,0,0,165,194,100,,140,110,72,98
USW00014734,2022-04-14,51,,15,0,0,213,311,133,,290,290,134,179
USW00014734,2022-04-15,53,,0,0,0,169,217,106,,200,210,107,148
USW00014734,2022-04-16,54,,30,0,0,169,228,78,,350,320,125,157
USW00014734,2022-04-17,65,,0,0,0,92,122,56,,320,330,116,161
USW00014734,2022-04-18,51,,224,0,0,77,117,22,,70,50,112,161
USW00014734,2022-04-19,88,,236,0,0,80,117,44,,270,280,197,237
USW00014734,2022-04-20,47,,0,0,0,100,167,61,,320,280,103,148
USW00014734,2022-04-21,37,,0,0,0,122,178,83,,160,150,89,112
USW00014734,2022-04-22,57,,0,0,0,160,222,89,,330,300,107,134
USW00014734,2022-04-23,31,,0,0,0,142,178,94,,10,150,58,72
USW00014734,2022-04-24,36,,0,0,0,137,172,100,,140,130,89,112
USW00014734,2022-04-25,30,,0,0,0,117,144,100,,120,130,54,72
USW00014734,2022-04-26,26,,3,0,0,139,189,122,,270,270,63,72
USW00014734,2022-04-27,81,,0,0,0,130,156,56,,310,310,134,170
USW00014734,2022-04-28,86,,0,0,0,93,156,50,,310,310,143,192
USW00014734,2022-04-29,75,,0,0,0,114,189,56,,330,320,134,165
USW00014734,2022-04-30,38,,0,0,0,143,211,72,,320,310,89,125
USW00014734,2022-05-01,32,,0,0,0,141,206,61,,120,120,72,85
USW00014734,2022-05-02,34,,56,0,0,137,144,117,,130,130,89,125
USW00014734,2022-05-03,43,,0,0,0,142,183,106,,20,130,76,94
USW00014734,2022-05-04,26,,38,0,0,133,200,106,,260,250,63,85
USW00014734,2022-05-05,38,,0,0,0,186,239,144,,360,360,76,94
USW00014734,2022-05-06,26,,239,0,0,152,161,106,,50,50,63,81
USW00014734,2022-05-07,67,,307,0,0,108,122,83,,40,70,112,152
USW00014734,2022-05-08,69,,0,0,0,111,167,78,,40,40,134,165
USW00014734,2022-05-09,69,,0,0,0,148,222,78,,40,30,130,183
USW00014734,2022-05-10,55,,0,0,0,171,239,100,,30,40,98,134
USW00014734,2022-05-11,46,,0,0,0,179,256,117,,20,30,98,121
USW00014734,2022-05-12,26,,0,0,0,183,244,139,,30,30,58,81
USW00014734,2022-05-13,22,,43,0,0,180,239,150,,30,40,58,72
USW00014734,2022-05-14,15,,74,0,0,178,217,156,,140,150,58,85
USW00014734,2022-05-15,22,,53,0,0,197,267,156,,150,150,63,81
USW00014734,2022-05-16,44,,28,0,0,224,283,172,,270,290,112,152
USW00014734,2022-05-17,70,,0,0,0,206,272,139,,260,270,139,179
USW00014734,2022-05-18,44,,0,0,0,190,244,139,,330,320,89,116
USW00014734,2022-05-19,24,,231,0,0,170,211,133,,230,130,54,72
USW00014734,2022-05-20,24,,81,0,0,170,211,139,,90,110,67,89
USW00014734,2022-05-21,33,,0,0,0,242,350,172,,230,240,89,107
USW00014734,2022-05-22,51,,0,0,0,292,350,228,,240,240,98,130
USW00014734,2022-05-23,49,,0,0,0,227,256,172,,320,340,103,125
USW00014734,2022-05-24,34,,0,0,0,189,206,156,,160,40,58,76
USW00014734,2022-05-25,28,,0,0,0,173,217,133,,150,170,58,81
USW00014734,2022-05-26,32,,0,0,0,175,217,144,,140,150,63,89
USW00014734,2022-05-27,35,,117,0,0,224,289,194,,220,210,107,143
USW00014734,2022-05-28,40,,61,0,0,220,261,189,,270,280,157,197
USW00014734,2022-05-29,22,,0,0,0,219,267,167,,330,290,58,81
USW00014734,2022-05-30,36,,0,0,0,247,328,167,,250,250,76,98
USW00014734,2022-05-31,48,,0,0,0,302,367,211,,320,330,89,134
USW00014734,2022-06-01,34,,137,0,0,214,217,167,,20,20,81,98
USW00014734,2022-06-02,34,,38,0,0,216,300,178,,350,330,107,125
USW00014734,2022-06-03,27,,0,0,0,226,267,200,,300,310,63,76
USW00014734,2022-06-04,35,,0,0,0,243,306,167,,250,270,94,125
USW00014734,2022-06-05,28,,0,0,0,220,267,144,,160,160,63,81
USW00014734,2022-06-06,35,,0,0,0,225,294,156,,200,170,76,107
USW00014734,2022-06-07,48,,13,0,0,228,283,161,,170,170,94,130
USW00014734,2022-06-08,43,,5,0,0,251,306,211,,270,270,81,116
USW00014734,2022-06-09,67,,198,0,0,254,306,200,,260,270,143,179
USW00014734,2022-06-10,44,,0,0,0,230,283,172,,270,280,89,116
USW00014734,2022-06-11,31,,0,0,0,236,267,189,,220,220,63,85
USW00014734,2022-06-12,30,,15,0,0,208,244,178,,150,160,72,94
USW00014734,2022-06-13,32,,0,0,0,258,333,206,,360,310,76,116
USW00014734,2022-06-14,37,,0,0,0,256,306,206,,360,320,67,112
USW00014734,2022-06-15,34,,0,0,0,245,283,194,,130,130,76,103
USW00014734,2022-06-16,42,,99,0,0,216,250,189,,200,170,81,98
USW00014734,2022-06-17,61,,0,0,0,267,350,217,,260,270,148,192
USW00014734,2022-06-18,76,,0,0,0,232,256,156,,320,320,139,179
USW00014734,2022-06-19,77,,0,0,0,189,256,133,,300,300,134,165
USW00014734,2022-06-20,39,,0,0,0,219,283,144,,310,310,81,116
USW00014734,2022-06-21,18,,13,0,0,233,278,167,,90,100,54,76
USW00014734,2022-06-22,34,,18,0,0,206,217,178,,130,130,72,103
USW00014734,2022-06-23,29,,0,0,0,204,244,183,,100,110,67,89
USW00014734,2022-06-24,27,,0,0,0,235,311,189,,240,250,63,81
USW00014734,2022-06-25,26,,0,0,0,279,356,194,,300,300,63,94
USW00014734,2022-06-26,46,,0,0,0,287,344,222,,200,250,81,112
USW00014734,2022-06-27,43,,74,0,0,253,272,217,,280,200,98,130
USW00014734,2022-06-28,42,,0,0,0,241,289,206,,360,330,81,112
USW00014734,2022-06-29,34,,0,0,0,250,322,178,,160,210,67,116
USW00014734,2022-06-30,40,,0,0,0,271,333,200,,310,230,81,121
USW00014734,2022-07-01,55,,0,0,0,291,372,217,,230,220,157,197
USW00014734,2022-07-02,52,,0,0,0,303,356,261,,230,230,94,125
USW00014734,2022-07-03,49,,0,0,0,294,339,250,,340,310,94,125
USW00014734,2022-07-04,33,,0,0,0,271,328,178,,240,280,76,103
USW00014734,2022-07-05,46,,10,0,0,272,328,217,,180,180,89,112
USW00014734,2022-07-06,53,,0,0,0,279,328,250,,310,290,89,134
USW00014734,2022-07-07,36,,0,0,0,269,289,217,,140,170,63,89
USW00014734,2022-07-08,19,,30,0,0,250,328,211,,230,230,76,107
USW00014734,2022-07-09,34,,0,0,0,263,317,233,,30,30,72,116
USW00014734,2022-07-10,35,,0,0,0,249,294,194,,10,360,76,98
USW00014734,2022-07-11,44,,0,0,0,251,311,189,,150,170,81,112
USW00014734,2022-07-12,63,,0,0,0,277,367,211,,240,240,112,139
USW00014734,2022-07-13,38,,0,0,0,303,356,244,,260,270,72,125
USW00014734,2022-07-14,44,,0,0,0,287,344,228,,310,300,81,139
USW00014734,2022-07-15,36,,0,0,0,263,300,228,,10,150,67,94
USW00014734,2022-07-16,22,,23,0,0,246,283,222,,130,110,63,85
USW00014734,2022-07-17,26,,15,0,0,252,294,211,,230,240,81,103
USW00014734,2022-07-18,30,,18,0,0,269,339,233,,210,210,107,143
USW00014734,2022-07-19,52,,0,0,0,284,344,233,,250,280,94,121
USW00014734,2022-07-20,38,,0,0,0,312,378,233,,230,220,94,125
USW00014734,2022-07-21,52,,3,0,0,316,378,256,,250,240,112,139
USW00014734,2022-07-22,33,,0,0,0,317,378,261,,360,20,112,188
USW00014734,2022-07-23,25,,0,0,0,311,383,256,,250,170,67,98
USW00014734,2022-07-24,57,,0,0,0,318,389,250,,220,230,103,148
USW00014734,2022-07-25,54,,8,0,0,304,333,261,,340,230,98,139
USW00014734,2022-07-26,38,,0,0,0,267,300,217,,20,280,94,116
USW00014734,2022-07-27,29,,0,0,0,258,306,206,,150,150,63,94
USW00014734,2022-07-28,35,,30,0,0,276,333,233,,260,280,107,139
USW00014734,2022-07-29,37,,3,0,0,278,317,233,,300,290,89,112
USW00014734,2022-07-30,51,,0,0,0,278,328,239,,330,300,94,134
USW00014734,2022-07-31,30,,0,0,0,263,306,200,,160,150,63,85
USW00014734,2022-08-01,29,,109,0,0,234,256,200,,350,350,67,76
USW00014734,2022-08-02,42,,0,0,0,268,350,206,,340,280,81,134
USW00014734,2022-08-03,31,,0,0,0,287,344,228,,240,260,72,89
USW00014734,2022-08-04,36,,0,0,0,288,367,233,,340,340,94,112
USW00014734,2022-08-05,39,,0,0,0,289,333,250,,240,260,76,98
USW00014734,2022-08-06,47,,0,0,0,289,356,233,,220,230,98,130
USW00014734,2022-08-07,67,,10,0,0,297,356,261,,230,220,165,210
USW00014734,2022-08-08,63,,0,0,0,309,372,256,,240,240,103,130
USW00014734,2022-08-09,55,,0,0,0,322,383,272,,310,260,103,139
USW00014734,2022-08-10,38,,0,0,0,283,322,239,,360,280,72,94
USW00014734,2022-08-11,31,,38,0,0,272,333,222,,350,320,98,125
USW00014734,2022-08-12,55,,0,0,0,266,311,217,,360,330,94,121
USW00014734,2022-08-13,43,,0,0,0,236,278,189,,10,360,81,143
USW00014734,2022-08-14,30,,0,0,0,233,278,172,,140,140,81,103
USW00014734,2022-08-15,21,,0,0,0,239,283,200,,150,110,63,94
USW00014734,2022-08-16,38,,0,0,0,235,289,183,,40,20,98,130
USW00014734,2022-08-17,26,,28,0,0,233,278,183,,10,10,98,112
USW00014734,2022-08-18,40,,0,0,0,249,328,183,,230,250,89,116
USW00014734,2022-08-19,31,,0,0,0,263,344,189,,140,130,76,103
USW00014734,2022-08-20,30,,0,0,0,271,322,222,,140,140,81,112
USW00014734,2022-08-21,30,,0,0,0,252,283,217,,140,150,67,94
USW00014734,2022-08-22,17,,190,0,0,243,278,222,,360,360,81,94
USW00014734,2022-08-23,36,,0,0,0,258,317,217,,320,310,94,121
USW00014734,2022-08-24,35,,0,0,0,266,333,200,,260,270,76,98
USW00014734,2022-08-25,24,,0,0,0,278,339,206,,180,150,67,85
USW00014734,2022-08-26,36,,0,0,0,276,339,228,,250,250,89,134
USW00014734,2022-08-27,26,,0,0,0,282,328,239,,140,270,58,98
USW00014734,2022-08-28,36,,0,0,0,253,278,239,,150,130,63,85
USW00014734,2022-08-29,36,,3,0,0,261,306,239,,130,150,76,98
USW00014734,2022-08-30,46,,109,0,0,272,322,228,,250,250,139,165
USW00014734,2022-08-31,47,,0,0,0,253,306,211,,260,270,89,116
USW00014734,2022-09-01,55,,0,0,0,252,311,194,,260,260,98,125
USW00014734,2022-09-02,35,,0,0,0,217,256,161,,30,30,67,89
USW00014734,2022-09-03,28,,0,0,0,227,272,172,,140,130,58,76
USW00014734,2022-09-04,29,,3,0,0,253,339,211,,30,30,63,85
USW00014734,2022-09-05,30,,3,0,0,260,306,228,,150,140,63,85
USW00014734,2022-09-06,32,,155,0,0,231,239,200,,60,60,72,98
USW00014734,2022-09-07,52,,3,0,0,204,228,183,,30,20,72,94
USW00014734,2022-09-08,34,,0,0,0,217,267,178,,20,360,72,94
USW00014734,2022-09-09,30,,0,0,0,218,278,167,,20,40,58,81
USW00014734,2022-09-10,18,,0,0,0,229,306,161,,150,150,54,54
USW00014734,2022-09-11,20,,89,0,0,229,239,206,,240,240,36,36
USW00014734,2022-09-12,23,,135,0,0,233,294,200,,160,280,54,72
USW00014734,2022-09-13,34,,89,0,0,247,294,200,,240,240,103,125
USW00014734,2022-09-14,44,,0,0,0,222,283,161,,300,270,98,116
USW00014734,2022-09-15,49,,0,0,0,216,239,167,,330,330,89,130
USW00014734,2022-09-16,30,,0,0,0,192,256,117,,300,330,72,89
USW00014734,2022-09-17,33,,0,0,0,213,244,178,,20,150,63,72
USW00014734,2022-09-18,51,,0,0,0,228,294,172,,240,270,98,152
USW00014734,2022-09-19,45,,20,0,0,246,311,194,,260,260,161,192
USW00014734,2022-09-20,47,,0,0,0,223,272,194,,300,290,89,125
USW00014734,2022-09-21,33,,0,0,0,221,283,161,,230,240,76,116
USW00014734,2022-09-22,58,,86,0,0,213,256,133,,320,340,134,161
USW00014734,2022-09-23,68,,0,0,0,141,178,100,,330,320,130,165
USW00014734,2022-09-24,33,,0,0,0,145,222,83,,250,320,54,76
USW00014734,2022-09-25,32,,366,0,0,183,244,144,,250,260,63,89
USW00014734,2022-09-26,43,,0,0,0,184,239,144,,240,240,107,139
USW00014734,2022-09-27,46,,0,0,0,174,206,117,,260,260,94,125
USW00014734,2022-09-28,49,,0,0,0,154,217,94,,350,330,76,112
USW00014734,2022-09-29,52,,0,0,0,157,200,100,,20,20,94,116
USW00014734,2022-09-30,49,,0,0,0,134,167,100,,30,20,72,89
USW00014734,2022-10-01,65,,157,0,0,129,144,100,,30,30,112,148
USW00014734,2022-10-02,85,,127,0,0,135,156,94,,30,30,134,174
USW00014734,2022-10-03,77,,152,0,0,99,111,78,,30,30,112,157
USW00014734,2022-10-04,72,,450,0,0,83,106,61,,360,360,98,121
USW00014734,2022-10-05,51,,79,0,0,116,150,106,,10,10,98,107
USW00014734,2022-10-06,18,,0,0,0,158,239,94,,250,260,45,63
USW00014734,2022-10-07,43,,0,0,0,182,244,106,,270,270,76,103
USW00014734,2022-10-08,48,,5,0,0,126,144,61,,340,340,103,121
USW00014734,2022-10-09,44,,0,0,0,98,161,28,,240,250,98,139
USW00014734,2022-10-10,35,,0,0,0,119,194,56,,240,240,81,112
USW00014734,2022-10-11,24,,0,0,0,141,217,61,,250,250,72,89
USW00014734,2022-10-12,29,,0,0,0,146,200,83,,190,140,72,103
USW00014734,2022-10-13,38,,97,0,0,164,194,106,,340,330,98,116
USW00014734,2022-10-14,36,,3,0,0,162,211,100,,290,290,67,116
USW00014734,2022-10-15,30,,0,0,0,156,217,83,,130,150,76,98
USW00014734,2022-10-16,21,,0,0,0,153,206,106,,250,240,63,81
USW00014734,2022-10-17,30,,74,0,0,161,206,122,,250,280,81,125
USW00014734,2022-10-18,45,,0,0,0,122,156,72,,280,280,89,116
USW00014734,2022-10-19,47,,0,0,0,86,139,28,,230,260,98,130
USW00014734,2022-10-20,49,,0,0,0,103,161,44,,230,250,107,139
USW00014734,2022-10-21,16,,0,0,0,119,194,50,,160,160,58,72
USW00014734,2022-10-22,14,,0,0,0,133,206,56,,140,120,58,81
USW00014734,2022-10-23,47,,28,0,0,142,172,111,,30,30,76,103
USW00014734,2022-10-24,46,,305,0,0,144,167,128,,30,30,76,89
USW00014734,2022-10-25,18,,15,0,0,186,233,167,,110,30,40,54
USW00014734,2022-10-26,23,,0,0,0,194,239,150,,230,230,76,103
USW00014734,2022-10-27,57,,0,0,0,169,200,100,,330,340,112,139
USW00014734,2022-10-28,44,,0,0,0,114,156,67,,10,360,94,107
USW00014734,2022-10-29,25,,0,0,0,107,167,50,,10,360,63,67
USW00014734,2022-10-30,14,,0,0,0,109,183,28,,270,290,36,67
USW00014734,2022-10-31,26,,25,0,0,137,194,83,,240,230,72,85
USW00014734,2022-11-01,36,,18,0,0,174,222,156,,290,290,67,85
USW00014734,2022-11-02,25,,0,0,0,177,228,117,,30,10,81,98
USW00014734,2022-11-03,17,,0,0,0,151,206,83,,110,150,45,63
USW00014734,2022-11-04,19,,0,0,0,151,228,94,,230,200,67,94
USW00014734,2022-11-05,34,,0,0,0,202,261,161,,180,200,89,116
USW00014734,2022-11-06,34,,0,0,0,214,250,189,,200,200,94,116
USW00014734,2022-11-07,63,,3,0,0,230,272,133,,340,330,112,139
USW00014734,2022-11-08,61,,0,0,0,138,167,78,,350,350,107,130
USW00014734,2022-11-09,32,,0,0,0,87,128,33,,20,10,81,98
USW00014734,2022-11-10,23,,0,0,0,119,211,56,,240,250,67,76
USW00014734,2022-11-11,30,,196,0,0,167,217,133,,190,190,89,116
USW00014734,2022-11-12,51,,10,0,0,213,233,167,,280,270,116,157
USW00014734,2022-11-13,62,,10,0,0,137,172,56,,280,290,116,143
USW00014734,2022-11-14,51,,0,0,0,62,89,17,,320,310,98,125
USW00014734,2022-11-15,51,,147,0,0,42,83,6,,20,30,98,121
USW00014734,2022-11-16,64,,61,0,0,68,117,44,,280,270,112,139
USW00014734,2022-11-17,65,,0,0,0,56,89,22,,270,280,130,161
USW00014734,2022-11-18,61,,0,0,0,38,78,0,,230,250,116,161
USW00014734,2022-11-19,49,,0,0,0,27,56,-27,,230,230,107,139
USW00014734,2022-11-20,66,,0,0,0,17,39,-27,,290,300,134,183
USW00014734,2022-11-21,47,,0,0,0,7,67,-43,,220,230,94,125
USW00014734,2022-11-22,38,,0,0,0,56,117,-5,,240,260,63,94
USW00014734,2022-11-23,34,,0,0,0,75,144,6,,290,290,67,98
USW00014734,2022-11-24,20,,0,0,0,71,139,0,,200,200,54,67
USW00014734,2022-11-25,55,,3,0,0,88,144,50,,320,320,148,197
USW00014734,2022-11-26,49,,0,0,0,100,156,56,,300,300,116,165
USW00014734,2022-11-27,34,,132,0,0,89,156,56,,250,240,94,125
USW00014734,2022-11-28,65,,0,0,0,118,133,56,,330,330,107,165
USW00014734,2022-11-29,20,,0,0,0,53,72,6,,340,330,54,67
USW00014734,2022-11-30,55,,124,0,0,82,156,22,,250,230,139,201
USW00014734,2022-12-01,64,,0,0,0,56,72,11,,280,270,112,148
USW00014734,2022-12-02,21,,0,0,0,31,78,-16,,180,280,45,89
USW00014734,2022-12-03,54,,99,0,0,103,150,67,,220,220,125,170
USW00014734,2022-12-04,36,,0,0,0,73,89,6,,320,310,81,148
USW00014734,2022-12-05,17,,0,0,0,41,94,-16,,190,200,45,58
USW00014734,2022-12-06,29,,163,0,0,78,144,11,,150,140,58,81
USW00014734,2022-12-07,32,,53,0,0,142,156,122,,230,240,67,85
USW00014734,2022-12-08,53,,0,0,0,118,128,61,,330,310,94,125
USW00014734,2022-12-09,54,,0,0,0,58,89,6,,10,10,81,112
USW00014734,2022-12-10,39,,0,0,0,22,56,-16,,20,30,76,89
USW00014734,2022-12-11,45,,76,3,0,37,50,11,,10,10,72,89
USW00014734,2022-12-12,56,,0,0,0,19,39,-16,,360,340,89,103
USW00014734,2022-12-13,40,,0,0,0,4,61,-43,,360,340,72,89
USW00014734,2022-12-14,54,,0,0,0,19,56,-10,,330,320,103,130
USW00014734,2022-12-15,54,,173,0,0,24,67,0,,50,40,107,165
USW00014734,2022-12-16,70,,130,0,0,66,78,44,,30,30,107,152
USW00014734,2022-12-17,55,,0,0,0,52,83,22,,280,280,98,143
USW00014734,2022-12-18,50,,0,0,0,29,61,-5,,290,260,94,121
USW00014734,2022-12-19,58,,0,0,0,15,56,-10,,300,270,107,152
USW00014734,2022-12-20,46,,0,0,0,20,56,-10,,320,310,81,103
USW00014734,2022-12-21,18,,0,0,0,7,61,-43,,20,350,40,63
USW00014734,2022-12-22,43,,71,0,0,28,111,-16,,60,50,76,103
USW00014734,2022-12-23,97,,320,0,0,79,144,-127,,270,240,192,237
USW00014734,2022-12-24,90,,0,0,0,-114,-82,-132,,260,270,143,183
USW00014734,2022-12-25,71,,0,0,0,-69,-10,-99,,240,240,103,134
USW00014734,2022-12-26,51,,0,0,0,-46,-5,-77,,270,270,98,125
USW00014734,2022-12-27,42,,0,0,0,-6,22,-21,,270,260,63,89
USW00014734,2022-12-28,36,,0,0,0,32,94,-21,,230,230,89,116
USW00014734,2022-12-29,28,,0,0,0,51,111,0,,230,230,63,76
USW00014734,2022-12-30,20,,0,0,0,88,167,39,,210,240,54,63
USW00014734,2022-12-31,8,,66,0,0,103,122,72,,240,240,45,58
